TXCARGO;TXNOMBRE;TXDESCRIPCION
Presidente;Mag. Roberto Rolando Burneo Bermejo Presidente del Jurado Nacional de Elecciones;JUEZ SUPREMO TITULAR DE LA CORTE SUPREMA DE JUSTICIA DE LA REPÚBLICA
MIEMBRO JNE 2;Mag. Martha Elizabeth Maisch Molina;MIEMBRO DEL PLENO ELEGIDO POR LA JUNTA DE FISCALES SUPREMOS
MIEMBRO JNE 3;Dr. Willy Ramírez Chávarry;Miembro del Pleno elegido por el Colegio de Abogados de Lima
Miembro JNE 4;Dr. Rubén Jaime Torres Cortez;Miembro del Pleno elegido por los decanos de las facultades de Derecho de las universidades públicas
MIEMBRO JNE 5;Dr. Aaron Oyarce Yuzzelli;Miembro del Pleno elegido por los decanos de las facultades de Derecho de las universidades privadas
